Store,Category,Mapped Category
illicit,Complete,Completes
illicit,Trousers / Pants,Bottoms
illicit,Hats,Hats & Beanies
illicit,Key chain,Accessories
illicit,Badge,Accessories
illicit,Bags,Bags
illicit,Tote bag,Bags
illicit,Socks,Other Clothing
illicit,Stockings,Other Clothing
illicit,Mug,Other
illicit,Gift card,Other
illicit,Pencil case,Other
illicit,Dice,Other
decade,T-Shirt,T-Shirts
decade,Footwear,Shoes
decade,Trousers,Bottoms
decade,Decks,Decks
decade,Sweat,Hoodies & Sweaters
decade,Hats,Hats & Beanies
decade,Gift Card,Gift Cards
decade,Socks,Other Accessories
decade,Trucks,Trucks
decade,Wheels,Wheels
decade,Hardware,Other Hardware
decade,Bags,Bags
june,T-Shirt,T-Shirts
june,Shirt,Shirts & Polos
june,Hoods & Crew,Hoodies & Sweaters
june,Outerwear,Outerwear
june,Bottoms,Bottoms
june,Accessories,Accessories
june,Shoes,Shoes
june,Hats & Beanies,Hats & Beanies
june,Bags,Bags
june,Completes,Completes
june,Deck,Decks
june,Trucks,Trucks
june,Wheels,Wheels
june,Bolts,Other Hardware
june,Bushings,Other Hardware
june,Skate Tool,Other Hardware
june,Bearings,Other Hardware
june,Protection,Protection
june,Socks,Other Clothing
june,Gift Vouchers,Other
june,Miscellaneous,Other
june,Jeans & Pants,Other
june,Coffee,Other
june,SHOPSTORM_HIDDEN_PRODUCT,Other
level,Skateboard Wheels,Wheels
level,Decks,Decks
level,Jackets,Outerwear
level,Wallet,Accessories
level,Hats,Hats & Beanies
level,Gift Card,Other
level,Shoe Repair,Other Hardware
level,Trucks,Trucks
level,Bolts,Other Hardware
level,Skateboard Decks,Decks
level,Reading & DVDs,DVDs & Media
level,Griptape,Other Hardware
level,Grinders,Other Hardware
level,Caps,Hats & Beanies
level,Sweatshirts,Hoodies & Sweaters
level,Bushings,Other Hardware
level,slippers,Shoes
level,Hardware,Other Hardware
level,Belts,Accessories
level,Mugs,Other Accessories
level,Hoodies,Hoodies & Sweaters
level,Tools,Other Hardware
level,Jeans & Trackies,Bottoms
level,Socks,Other Clothing
